aagę	she did say
aagǫda	she put it in a container
aagodinehago	they (female or mixed group) were amazed or surprised
aagodǫhswedęge	there was a big famine
aagodǫs	it did benefit her
aagonehago	she was amazed or surprised
aagǫni	how much she made, earned
aagonodrahs	she got chicken pox, a skin infection, allergic reactions; she became infected
adaditra	cane
adagaedęhsra oihwageh	health
adagaidehsra dehodihwahtsa	Health Canada (literally: they are pushing health)
adagęhodagwę	scattering ashes
adahditra	socks
adahditranhahsta	garters (to hold up stockings)
adahyaohǫ	Gathering of Fruit Ceremony (done during the Strawberry Ceremony)
adaisdǫ	intercourse
adaotra	friendship; also refers to a ceremonial friend
adatrewahdǫ	repentance, punishment
adęhę	fence
adęhęgaǫhsra	an invitation
adęhęgeh	on the fence
adęhęgǫ	in the yard
adęhękah	by the fence
adehswa	blouse, middy
adekwahahsra	table
adekwahahsrageh	on the table
adekwahahsrakah	by the table
adekwaohǫ	Gathering of the Foods (refers to both Green Corn Ceremonies)
adęnatra	lunch, groceries
adęnideǫsra	the act of kindness
adęnihsageh	on the wall
adigrǫhsra	shyness
adigyadra	we two (inclusive) met
adihakǫhsra	a feast (ceremonial) 
adihswatnętsiyak	you all broke your arm
adijatnętsiyak	you two broke your arm
adisaihwaędas	you made a decision
adisatsǫhs	you did sneeze
adoda	bow (as in bow and arrow)
adogę	axe, tomahawk
adǫhnetsa	ladder or stairs
adǫhnetshageh	on the stairs
adǫhwihsęhde	it is restful
adojina	skate
adojinehdǫ	skating
adǫnhehsra	birth
adǫwa	men's personal chant
adowadǫ	hunt
adraswa	luck
adraswahetgę	luck
adrawihsda	bat (mammal)
adrihwagyaǫhsra	disaster
adrihwagyaǫhsra hadiganyas	insurance, assurance
adrihwahsehdǫ	a secret
adwadagwęhdę	it became dented
adwadahyowę	the fruit did split
adwadęhęwęhęt	it has gone over the fence
adwadehsdaogo	it splashed
adwadehsgwidrǫdę	you became wrinkly, pruny
adwadejitgwaogo	diabetes
adwadęnhiht	calamity (literally: it happened all of a sudden; all at once)
adwadestęhowę	volcano
adwadogo	it scattered
adwadowę	it split
adwadrihgwagwenǫni	there was a full moon
adwagadǫhwęjohs	I did want something
adwagagyaǫnyǫs	I had a vision; I got spooked
adwagahjiyo	it scratched me
adwagegahos	I got an eyelash in my eye
adwagrihwaędas	I came to a decision
adwagyaǫnyǫ	apparition (haunted)
adwahyahi	the fruit broke up
adwaksagas	you gasped, yawned 
adwataędǫnyǫh	it shimmered
adwatahsrogo	a flash of light
adwatnętsiyak	it broke its arm
adwatnętsodagoh	our (includes listener) arm came out of its socket
adwatwęjohs	it became a necessity
adwęnihok	lightning struck
adyagodewanegas	she got a flat tire
adyagodidraihę	they (female or mixed group) hurried
adyagodihwaędas	they (female or mixed group) came to a decision
adyodidraihę	they (animal) hurried
adyǫknidraihę	we two hurried
aedagra	she fell down
aeganyak	she paid
aegę	she saw
aehędaę	she won the throw (when all the stones come up the same)
aehędaędǫnyǫ	she or someone won the throw repeatedly, one right after the other; (refers to a betting game)
aehninǫ	she purchased
aenanawęht	she wet it
aenǫhwe	she has liked it
aesahiyak	she got your goat
aesanigǫhodago	she bested your mind, bewitched you
aeswak	you all should eat it
aetigweni	we won a competition
aetsigweni	you won a competition
aewayęnęda	she finished
aeyǫ	she arrived
agaahdra	my basket
agadadegę	I saw myself
agadadwiyahdǫdǫh	I did have an abortion
agadadwiyahdǫt	I had an abortion
agadagaide	I am well, fine, healthy
agadahnyo	I would fish
agadahǫhdohai	I did wash my ears
agadahǫhsiyohs	I listen
agadahsehdǫh	I am hiding now
agadaǫni	it got muddy
agadatgę	I saw myself
agadatsęhse	I am tired
agadedręhdatgihdanihsgęhę	I used to have bad dreams
agadegwęhęgye	I am running away again
agadehęh	I did get embarrassed
agadehsrędǫni	I am grouchy, (glaring)
agadehsrǫnihsǫh	I am ready
agadejiohgyak	I did cut my nails
agadekǫni	I might eat
agadekǫni	I am eating
agadekǫni	I ate
agadęneha	I won the bet
agadenǫnyadǫ	I am in mourning
agadęnowęht	I denied
agadenyagwaht	I made myself throw up
agadenyędę	"I might try or attempt it
"
agadetsę	I am a glutton
agadetsęhs	I made myself into a glutton
agadidręhtaodrǫ	I had to stay awake 
agadinanawęht	they (animal) wet it 
agadǫgoht	I should go on
agadǫgwediyohs	I made myself nice; (put on my public face or facade)
agadǫhswedanih	I am hungry
agadǫnhi	I am alive; I am born; I am full of life
agadowi	I did the driving
agadowihshę	I should rest
agadowihshędak	I did have a rest
agadowishę	I have rested
agadręnotak	I would be a singer
agadrihodat	I worked
agadwahdǫh	I have or did miss it
agadwęnǫdahk	I should use that language
agadwiyaǫgwęh	I have adopted a baby
agaedagra	they (female or mixed group) fell down
agaegę	they (female or mixed group) saw it
agaęhgodę	potato sprouts
agaehsaka	they (female or mixed group) went looking for it
agaenanawęht	they (female or mixed group) wet it
agaenyagę aagodinyak	they eloped
agaesake	they (female or mixed group) are / are they going to look for it
agaęsawęnyahsha	heart operation 
agaeyena	they (female or mixed group) caught, received, accepted it
agagę	it saw
agagowanhe	it became big 
agagwiyǫdę	it got buds
agagyadawitra	my coat or dress
agagyǫhsehe	I am going to go visit
agahahokdę	I finished one row
agahatge	a big drought
agahdrǫni	I am scared all the time, a fraidy-cat
agahdrǫs	I am scared, frightened
agahǫhdanǫhwas	I have an earache
agahsagǫh	I am coughing right now
agahsdaę	I did cry
agahsdaęda	it stopped raining
agahsę	I am fat
agahsehdǫh	I am hiding something
agahsenigǫhadę	you betrayed them
agahsgędrǫdę	it is rusty, mouldy
agahshadrǫnyǫh	I am reminiscing, remembering
agahshę	I am slow to act
agahsidanǫhwas	I have a sore foot
agahsidatgi	I have dirty feet
agahsǫwadenyes	I am dizzy
agahstenyęge	rock slide
agahstenyęgeh	falling rocks
agahtga	I gave it up (right now)
agahyaę	I have fruit
agahyago	I would pick fruit
agahyago	I picked fruit (recently)
agahyagǫh	I am eating fruit
agahyagǫhne	I ate fruit, have eaten fruit
agahyagwahsek	I might be a fruit picker
agahyagwęh	I have picked fruit (farther in the past)
agahyagwęhęgye	I am picking fruit along; as I am going along in a row picking fruit
agahyagwęhęgyes	I am going along picking fruit all over the place
agahyagwęhęgyesgęhę	I used to go along picking fruit (but I no longer do)
agahyagwęhne	I have done fruit picking
agahyak	I ate the fruit
agahyęht	I knocked or dropped the fruit down
agaihwagǫdǫ	it died out (high language)
agaihwahdǫ	it became extinct, died out (old word)
agaihwęda	it wore out (i.e. clothing)
agakedę	I felt compassion for them
agakehsre	I chased them, followed them
agakeyatgęse	I should watch them
agakeyena	I should catch them
agakwahǫdǫ	it asked for food
aganahaotra	my hat
agananawęht	it wet it
aganhohayęht	noise made by banging a door
aganǫnhe	it filled up
agaǫdadehsre	they (female) chased or followed her
agaǫdadǫh	I am blowing now; I have blown
agaǫdagyena	they (female or mixed group) caught her
agaǫdaotsę	they (female or mixed group) became ceremonial friends
agaǫdatgweni	they (female or mixed group) won a competition
agaǫdehsgyǫwatat	they (female or mixed group) dieted
agaǫdekwahę	they (female or mixed group) put on a meal
agaǫdowihshę	they (female or mixed group) rested
agaǫgehsre	they chased or followed me
agaǫgehswaneta	they supported me
agaǫhǫk	they (female or mixed group) heard; they learned how to understand a language
agaǫnihędahk	they (female or mixed group) suddenly quit
agaǫnihsgyage	they (female or mixed group) urinated
agaǫnǫwaędahk	they (female or mixed group) made it sink
agaǫtgǫtraniyǫdę	they (female or mixed group) weighed themselves
agaǫtgweni	they (female or mixed group) won a competition
agaǫtsęht	they (female or mixed group) were tired or sleepy
agasdaowanaht	it rained hard
agatahahsa	I finished a road
agatahyǫni	I am Wolf clan
agatgahiyohsdǫh	I am staring at it, examining it closely
agatgahǫ	I paid attention
agatganǫnih	I am wealthy
agatgęh	I got up
agatgęhǫh	I am up now
agatgǫhsohai	I did wash my face
agatgweni	I won a competition
agathnasǫ	I oiled myself
agatnakdiyohs	I made myself comfortable
agatnǫhgaǫ	I did get my hair cut
agatnojodago	I had my tooth pulled
agatǫde	I hear it (right now)
agatǫdęhs	I hear it all the time (continually or off-and-on; i.e. the sound of a regular train going by one's house)
agatǫdęǫh	I have heard it before
agatowahsta	I am cold
agatowinyǫse	I have a cold
agatǫwisęh	I am singing seed songs
agatrǫnyahna	I should go and tell
agatrǫnyahne	I am going to go there and tell (correction)
agatrǫnyahnǫh	I am telling now
agatrǫnyahnǫhk	I went there and told (but I am back)
agatrǫnyahsihǫh	I finished undressing; I got fully undressed
agatrowi	I have told
agatrowihne	what I did talk about
agatsadǫ	I buried it (an object)
agatsęnǫni	I am glad, happy
agatsęnǫni	I got happy
agatsǫwadenyes	I am dizzy
agatwihsdęda	I wasted my money
agatwihsdǫni	how much money I made
agawędagę	she is a wimp, timid
agawęgęhę	it used to be mine
agawęh	it is mine
agawęhęda	flowers that have finished blooming
agawęhǫdę	a flower bloomed
agaweodę	it got mouldy
agę	that's what I did say
agędagę	I am a wimp; I am weak (mentally or physically); cowardly
agedaihęhdrot	I am sweating
agedre	I dragged it
agedre	I am riding along
agedrehda	my car
agedrehdaę	I have a car
agedrehdagayǫh	my old car
agedrehdagęhę	it was my car
agedrehdase	my new car
agegahagwaǫt	I have a sty
agegahanǫhwas	I have a sore eye
agegas	I like the taste of it
agegasgęhę	I used to like the taste of it (but I do not anymore)
agegę	I have seen it 
agegę	I saw
agegeageh	on my hair
agegeaji	I have dark hair
agegęhędanih	I am annoyed, sick of it
agegęna	I have a freckle
agegǫhsatgi	I have a dirty face
agegwaǫt	I have an abscess, boil
